,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта,year_range,Number_of_storeys_range,year_range_1959-1989,year_range_1990-2000,year_range_2001-2010,year_range_2011-2024,Number_of_storeys_range_3-4,Number_of_storeys_range_5-9,Number_of_storeys_range_10-12,Number_of_storeys_range_> 13
0,"б-р. Баландина, д.11",Многоквартирный дом,18,2011,5394.5,2011-2024,> 13,False,False,False,True,False,False,False,True
1,"б-р. Баландина, д.2",Многоквартирный дом,16,2012,12731.5,2011-2024,> 13,False,False,False,True,False,False,False,True
2,"б-р. Баландина, д.2а",Другое строение,3,,0.0,,3-4,False,False,False,False,True,False,False,False
3,"б-р. Баландина, д.4",Многоквартирный дом,16,2012,4234.9,2011-2024,> 13,False,False,False,True,False,False,False,True
4,"б-р. Баландина, д.4 корп.1",Многоквартирный дом,16,2012,4250.1,2011-2024,> 13,False,False,False,True,False,False,False,True
5,"б-р. Баландина, д.9",Многоквартирный дом,18,2011,8213.4,2011-2024,> 13,False,False,False,True,False,False,False,True
6,"б-р. Давлеткильдеева, д.1",Другое строение,3,,0.0,,3-4,False,False,False,False,True,False,False,False
7,"б-р. Давлеткильдеева, д.12",Многоквартирный дом,24,2018,14131.0,2011-2024,> 13,False,False,False,True,False,False,False,True
8,"б-р. Давлеткильдеева, д.12* корп.потери",Другое строение,0,,,,,False,False,False,False,False,False,False,False
9,"б-р. Давлеткильдеева, д.16",Многоквартирный дом,30,2018,16368.1,2011-2024,> 13,False,False,False,True,False,False,False,True
10,"б-р. Давлеткильдеева, д.18",Многоквартирный дом,26,2019,13668.3,2011-2024,> 13,False,False,False,True,False,False,False,True
11,"б-р. Давлеткильдеева, д.20",Многоквартирный дом,25,2019,21072.0,2011-2024,> 13,False,False,False,True,False,False,False,True
12,"б-р. Давлеткильдеева, д.3 корп.1",Многоквартирный дом,9,1983,5742.2,1959-1989,5-9,True,False,False,False,False,True,False,False
13,"б-р. Давлеткильдеева, д.3 корп.2",Многоквартирный дом,12,1983,2774.8,1959-1989,10-12,True,False,False,False,False,False,True,False
14,"б-р. Давлеткильдеева, д.5",Многоквартирный дом,25,2017,47639.6,2011-2024,> 13,False,False,False,True,False,False,False,True
15,"б-р. Давлеткильдеева, д.5 корп.1",Многоквартирный дом,9,1983,5684.4,1959-1989,5-9,True,False,False,False,False,True,False,False
16,"б-р. Давлеткильдеева, д.5 корп.2",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
17,"б-р. Давлеткильдеева, д.8",Многоквартирный дом,11,2014,6106.5,2011-2024,10-12,False,False,False,True,False,False,True,False
18,"б-р. Давлеткильдеева, д.8*",Другое строение,0,,,,,False,False,False,False,False,False,False,False
19,"б-р. Ибрагимова, д.19",Многоквартирный дом,9,1975,8597.4,1959-1989,5-9,True,False,False,False,False,True,False,False
20,"б-р. Ибрагимова, д.19 корп.21",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
21,"б-р. Ибрагимова, д.19 корп.А",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
